title,description,category,category_label,priority
Wifi phòng B305 rất yếu,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Mong được hỗ trợ sớm.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn,Internet ở khu ký túc xá bị chậm vào buổi tối. Vấn đề xảy ra từ hôm qua. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường,Thiết bị của em không thể kết nối wifi trong phòng học. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 2,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Em đã thử lại nhiều lần nhưng chưa được.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 2,Internet ở khu ký túc xá bị chậm vào buổi tối. Nếu cần thêm thông tin em có thể bổ sung. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 2,Thiết bị của em không thể kết nối wifi trong phòng học. Tình trạng này ảnh hưởng đến việc học. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 3,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Em cần xử lý trong tuần này.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 3,Internet ở khu ký túc xá bị chậm vào buổi tối. Nhờ phòng ban kiểm tra giúp em. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 3,Thiết bị của em không thể kết nối wifi trong phòng học. Hiện tại em vẫn chưa thể sử dụng bình thường. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 4,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Cảm ơn bộ phận hỗ trợ.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 4,Internet ở khu ký túc xá bị chậm vào buổi tối. Mong được hỗ trợ sớm. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 4,Thiết bị của em không thể kết nối wifi trong phòng học. Vấn đề xảy ra từ hôm qua. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 5,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Nhiều bạn trong lớp cũng gặp tình trạng tương tự.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 5,Internet ở khu ký túc xá bị chậm vào buổi tối. Em đã thử lại nhiều lần nhưng chưa được. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 5,Thiết bị của em không thể kết nối wifi trong phòng học. Nếu cần thêm thông tin em có thể bổ sung. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 6,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Tình trạng này ảnh hưởng đến việc học.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 6,Internet ở khu ký túc xá bị chậm vào buổi tối. Em cần xử lý trong tuần này. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 6,Thiết bị của em không thể kết nối wifi trong phòng học. Nhờ phòng ban kiểm tra giúp em. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 7,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Hiện tại em vẫn chưa thể sử dụng bình thường.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 7,Internet ở khu ký túc xá bị chậm vào buổi tối. Cảm ơn bộ phận hỗ trợ. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 7,Thiết bị của em không thể kết nối wifi trong phòng học. Mong được hỗ trợ sớm. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 8,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Vấn đề xảy ra từ hôm qua.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 8,Internet ở khu ký túc xá bị chậm vào buổi tối. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 8,Thiết bị của em không thể kết nối wifi trong phòng học. Em đã thử lại nhiều lần nhưng chưa được. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 9,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Nếu cần thêm thông tin em có thể bổ sung.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 9,Internet ở khu ký túc xá bị chậm vào buổi tối. Tình trạng này ảnh hưởng đến việc học. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 9,Thiết bị của em không thể kết nối wifi trong phòng học. Em cần xử lý trong tuần này. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Wifi phòng B305 rất yếu lần 10,"Wifi thường xuyên mất kết nối, nhiều sinh viên không truy cập được tài liệu. Nhờ phòng ban kiểm tra giúp em.",network,Mạng / Wifi,low
Mạng ký túc xá chập chờn lần 10,Internet ở khu ký túc xá bị chậm vào buổi tối. Hiện tại em vẫn chưa thể sử dụng bình thường. Tình trạng này ảnh hưởng đến việc học của lớp em.,network,Mạng / Wifi,medium
Không kết nối được wifi trường lần 10,Thiết bị của em không thể kết nối wifi trong phòng học. Cảm ơn bộ phận hỗ trợ. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,network,Mạng / Wifi,high
Máy chiếu phòng A402 không lên hình,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Mong được hỗ trợ sớm.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Vấn đề xảy ra từ hôm qua. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động,Micro không thu tiếng trong buổi học sáng nay. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 2,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Em đã thử lại nhiều lần nhưng chưa được.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 2,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Nếu cần thêm thông tin em có thể bổ sung. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 2,Micro không thu tiếng trong buổi học sáng nay. Tình trạng này ảnh hưởng đến việc học. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 3,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Em cần xử lý trong tuần này.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 3,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Nhờ phòng ban kiểm tra giúp em. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 3,Micro không thu tiếng trong buổi học sáng nay. Hiện tại em vẫn chưa thể sử dụng bình thường. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 4,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Cảm ơn bộ phận hỗ trợ.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 4,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Mong được hỗ trợ sớm. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 4,Micro không thu tiếng trong buổi học sáng nay. Vấn đề xảy ra từ hôm qua. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 5,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Nhiều bạn trong lớp cũng gặp tình trạng tương tự.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 5,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Em đã thử lại nhiều lần nhưng chưa được. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 5,Micro không thu tiếng trong buổi học sáng nay. Nếu cần thêm thông tin em có thể bổ sung. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 6,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Tình trạng này ảnh hưởng đến việc học.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 6,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Em cần xử lý trong tuần này. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 6,Micro không thu tiếng trong buổi học sáng nay. Nhờ phòng ban kiểm tra giúp em. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 7,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Hiện tại em vẫn chưa thể sử dụng bình thường.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 7,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Cảm ơn bộ phận hỗ trợ. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 7,Micro không thu tiếng trong buổi học sáng nay. Mong được hỗ trợ sớm. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 8,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Vấn đề xảy ra từ hôm qua.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 8,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 8,Micro không thu tiếng trong buổi học sáng nay. Em đã thử lại nhiều lần nhưng chưa được. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 9,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Nếu cần thêm thông tin em có thể bổ sung.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 9,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Tình trạng này ảnh hưởng đến việc học. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 9,Micro không thu tiếng trong buổi học sáng nay. Em cần xử lý trong tuần này. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Máy chiếu phòng A402 không lên hình lần 10,Giảng viên cắm HDMI nhưng máy chiếu không hiển thị. Nhờ phòng ban kiểm tra giúp em.,classroom_device,Thiết bị phòng học,low
Loa phòng học bị rè lần 10,Âm thanh trong phòng học quá rè nên sinh viên khó nghe bài giảng. Hiện tại em vẫn chưa thể sử dụng bình thường. Tình trạng này ảnh hưởng đến việc học của lớp em.,classroom_device,Thiết bị phòng học,medium
Micro giảng đường không hoạt động lần 10,Micro không thu tiếng trong buổi học sáng nay. Cảm ơn bộ phận hỗ trợ. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,classroom_device,Thiết bị phòng học,high
Đèn phòng học bị hỏng,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Mong được hỗ trợ sớm.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Vấn đề xảy ra từ hôm qua. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước,Khu vệ sinh tầng 3 không có nước trong giờ học. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 2,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Em đã thử lại nhiều lần nhưng chưa được.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 2,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Nếu cần thêm thông tin em có thể bổ sung. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 2,Khu vệ sinh tầng 3 không có nước trong giờ học. Tình trạng này ảnh hưởng đến việc học. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 3,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Em cần xử lý trong tuần này.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 3,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Nhờ phòng ban kiểm tra giúp em. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 3,Khu vệ sinh tầng 3 không có nước trong giờ học. Hiện tại em vẫn chưa thể sử dụng bình thường. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 4,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Cảm ơn bộ phận hỗ trợ.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 4,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Mong được hỗ trợ sớm. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 4,Khu vệ sinh tầng 3 không có nước trong giờ học. Vấn đề xảy ra từ hôm qua. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 5,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Nhiều bạn trong lớp cũng gặp tình trạng tương tự.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 5,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Em đã thử lại nhiều lần nhưng chưa được. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 5,Khu vệ sinh tầng 3 không có nước trong giờ học. Nếu cần thêm thông tin em có thể bổ sung. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 6,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Tình trạng này ảnh hưởng đến việc học.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 6,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Em cần xử lý trong tuần này. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 6,Khu vệ sinh tầng 3 không có nước trong giờ học. Nhờ phòng ban kiểm tra giúp em. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 7,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Hiện tại em vẫn chưa thể sử dụng bình thường.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 7,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Cảm ơn bộ phận hỗ trợ. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 7,Khu vệ sinh tầng 3 không có nước trong giờ học. Mong được hỗ trợ sớm. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 8,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Vấn đề xảy ra từ hôm qua.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 8,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 8,Khu vệ sinh tầng 3 không có nước trong giờ học. Em đã thử lại nhiều lần nhưng chưa được. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 9,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Nếu cần thêm thông tin em có thể bổ sung.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 9,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Tình trạng này ảnh hưởng đến việc học. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 9,Khu vệ sinh tầng 3 không có nước trong giờ học. Em cần xử lý trong tuần này. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Đèn phòng học bị hỏng lần 10,Một số bóng đèn trong phòng học bị hỏng làm phòng khá tối. Nhờ phòng ban kiểm tra giúp em.,facility,Cơ sở vật chất,low
Máy lạnh phòng C201 không mát lần 10,"Máy lạnh hoạt động yếu, cả lớp rất khó tập trung. Hiện tại em vẫn chưa thể sử dụng bình thường. Tình trạng này ảnh hưởng đến việc học của lớp em.",facility,Cơ sở vật chất,medium
Nhà vệ sinh tầng 3 thiếu nước lần 10,Khu vệ sinh tầng 3 không có nước trong giờ học. Cảm ơn bộ phận hỗ trợ. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,facility,Cơ sở vật chất,high
Trùng lịch thi hai môn,Em bị trùng lịch thi hai môn trong cùng buổi sáng. Mong được hỗ trợ sớm.,schedule_exam,Lịch học / Lịch thi,low
Sai phòng thi trên hệ thống,Thông tin phòng thi hiển thị khác với thông báo của khoa. Vấn đề xảy ra từ hôm qua. Tình trạng này ảnh hưởng đến việc học của lớp em.,schedule_exam,Lịch học / Lịch thi,medium
Chưa thấy lịch học tuần này,Lớp em chưa thấy lịch học cập nhật trên cổng sinh viên. Nhiều bạn trong lớp cũng gặp tình trạng tương tự. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,schedule_exam,Lịch học / Lịch thi,high
Trùng lịch thi hai môn lần 2,Em bị trùng lịch thi hai môn trong cùng buổi sáng. Em đã thử lại nhiều lần nhưng chưa được.,schedule_exam,Lịch học / Lịch thi,low
Sai phòng thi trên hệ thống lần 2,Thông tin phòng thi hiển thị khác với thông báo của khoa. Nếu cần thêm thông tin em có thể bổ sung. Tình trạng này ảnh hưởng đến việc học của lớp em.,schedule_exam,Lịch học / Lịch thi,medium
Chưa thấy lịch học tuần này lần 2,Lớp em chưa thấy lịch học cập nhật trên cổng sinh viên. Tình trạng này ảnh hưởng đến việc học. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,schedule_exam,Lịch học / Lịch thi,high
Trùng lịch thi hai môn lần 3,Em bị trùng lịch thi hai môn trong cùng buổi sáng. Em cần xử lý trong tuần này.,schedule_exam,Lịch học / Lịch thi,low
Sai phòng thi trên hệ thống lần 3,Thông tin phòng thi hiển thị khác với thông báo của khoa. Nhờ phòng ban kiểm tra giúp em. Tình trạng này ảnh hưởng đến việc học của lớp em.,schedule_exam,Lịch học / Lịch thi,medium
Chưa thấy lịch học tuần này lần 3,Lớp em chưa thấy lịch học cập nhật trên cổng sinh viên. Hiện tại em vẫn chưa thể sử dụng bình thường. Em cần xử lý gấp vì sáng mai có thi/kiểm tra.,schedule_exam,Lịch học / Lịch thi,high
